ID,Frakce,Název,Typ,Cena,Atk,HP,AI_Text,Visual_Subject,FULL_PROMPT
62,Law,THE BANK,Landmark,3,0,5,End of Turn: 50% chance to gain 1 Grit.,brick bank building with iron bars,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of brick bank building with iron bars western style. Bottom half: beige text box. Text 1: Title "THE BANK" in bold western font. Text 2: Description "End of Turn: 50% to gain 1 Grit". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
63,Saloon,GRAND SALOON,Landmark,3,0,5,End of Turn: Heal all friendly characters for 1.,lively saloon building at night,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of lively saloon building at night western style. Bottom half: beige text box. Text 1: Title "GRAND SALOON" in bold western font. Text 2: Description "End of Turn: Heal allies 1". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
64,Outlaw,HIDEOUT,Landmark,4,0,4,Your Units have Stealth.,hidden cabin in the woods,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of hidden cabin in the woods western style. Bottom half: beige text box. Text 1: Title "HIDEOUT" in bold western font. Text 2: Description "Your Units have Stealth". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
65,Wild,TOTEM POLE,Landmark,2,0,5,Your Wild units have +1 Attack.,carved wooden indian totem,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of carved wooden indian totem western style. Bottom half: beige text box. Text 1: Title "TOTEM POLE" in bold western font. Text 2: Description "Your Wild units have +1 Atk". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
66,Neutral,TRAIN STATION,Landmark,3,0,4,At the start of your turn, draw an extra card.,red train station building,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of red train station building western style. Bottom half: beige text box. Text 1: Title "TRAIN STATION" in bold western font. Text 2: Description "Start of Turn: Draw extra card". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
67,Mythos,OLD GRAVEYARD,Landmark,4,0,5,Last Word on your units: Return them to hand instead of dying (Once per turn).,spooky cemetery gate with fog,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of spooky cemetery gate with fog western style. Bottom half: beige text box. Text 1: Title "OLD GRAVEYARD" in bold western font. Text 2: Description "Save 1 dead unit per turn". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
68,Law,THE GALLOWS,Landmark,3,0,4,Enemy units have -1 Attack.,wooden gallows platform,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wooden gallows platform western style. Bottom half: beige text box. Text 1: Title "THE GALLOWS" in bold western font. Text 2: Description "Enemy units have -1 Attack". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
69,Neutral,OIL DERRICK,Landmark,5,0,7,End of Turn: Gain 2 Grit.,tall wooden oil derrick tower,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of tall wooden oil derrick tower western style. Bottom half: beige text box. Text 1: Title "OIL DERRICK" in bold western font. Text 2: Description "End of Turn: Gain 2 Grit". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "7". Style: Worn paper texture antique aesthetic masterpiece.
70,Wild,BEAVER DAM,Landmark,3,0,6,Enemy units cost (1) more.,beaver dam blocking river,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of beaver dam blocking river western style. Bottom half: beige text box. Text 1: Title "BEAVER DAM" in bold western font. Text 2: Description "Enemy units cost (1) more". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "6". Style: Worn paper texture antique aesthetic masterpiece.
71,Neutral,GOLD COIN,Spell,0,-,-,Gain 1 Grit this turn only.,gold nugget on table,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of shiny gold nugget on wooden table western style. Bottom half: beige text box. Text 1: Title "GOLD COIN" in bold western font. Text 2: Description "Gain 1 Grit this turn only". Top-Left Corner: Circle with number "0". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
72,Wild,GREY WOLF,Unit,1,2,1,,snarling grey wolf,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of snarling grey wolf western style. Bottom half: beige text box. Text 1: Title "GREY WOLF" in bold western font. Text 2: No Description. Top-Left Corner: Circle with number "1". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
73,Mythos,CAVE BAT,Unit,1,1,1,,black bat flying,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of black bat flying western style. Bottom half: beige text box. Text 1: Title "CAVE BAT" in bold western font. Text 2: No Description. Top-Left Corner: Circle with number "1". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
74,Law,SHERIFF BADGE,Gear,2,-,-,Give a Unit +1/+3 and Guardian.,silver sheriff star pinned on vest,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of silver sheriff star pinned on vest western style. Bottom half: beige text box. Text 1: Title "SHERIFF BADGE" in bold western font. Text 2: Description "Give Unit +1/+3 & Guardian". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
75,Neutral,WINCHESTER,Gear,3,-,-,Give a Unit +4 Attack.,classic winchester repeating rifle,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of classic winchester repeating rifle western style. Bottom half: beige text box. Text 1: Title "WINCHESTER" in bold western font. Text 2: Description "Give a Unit +4 Attack". Top-Left Corner: Circle with number "3". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
76,Wild,WAR PAINT,Gear,1,-,-,Give a Unit +2/+1.,red native american war paint markings,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of red native american war paint markings western style. Bottom half: beige text box. Text 1: Title "WAR PAINT" in bold western font. Text 2: Description "Give a Unit +2/+1". Top-Left Corner: Circle with number "1". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
77,Mythos,SILVER BULLETS,Gear,3,-,-,Give a Unit +2 Attack and Lethal.,shiny silver bullets on wooden table,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of shiny silver bullets on wooden table western style. Bottom half: beige text box. Text 1: Title "SILVER BULLETS" in bold western font. Text 2: Description "Give Unit +2 Atk & Lethal". Top-Left Corner: Circle with number "3". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
78,Saloon,IRON PONCHO,Gear,2,-,-,Give a Unit +5 Health.,weathered patterned poncho with bullet holes,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of weathered patterned poncho with bullet holes western style. Bottom half: beige text box. Text 1: Title "IRON PONCHO" in bold western font. Text 2: Description "Give a Unit +5 Health". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
79,Outlaw,BOWIE KNIFE,Gear,2,-,-,Give a Unit +2 Attack and Ambush.,large sharp bowie knife with bone handle,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of large sharp bowie knife with bone handle western style. Bottom half: beige text box. Text 1: Title "BOWIE KNIFE" in bold western font. Text 2: Description "Give Unit +2 Atk & Ambush". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
80,Law,MARSHAL EARP,Hero,0,0,30,Hero Power (2 Grit): Summon a 1/1 Deputy with Guard.,old rugged marshal with white mustache,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of old rugged marshal with white mustache western style portrait. Bottom half: beige text box. Text 1: Title "MARSHAL EARP" in bold western font. Text 2: Description "Power (2): Summon 1/1 Deputy". Top-Left Corner: No cost. Bottom-Right: Heart icon with "30". Style: Worn paper texture antique aesthetic masterpiece.
81,Outlaw,BELLE STARR,Hero,0,0,20,Hero Power (2 Grit): Deal 2 damage to the enemy Hero.,dangerous outlaw woman with dual revolvers,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of dangerous outlaw woman with dual revolvers western style portrait. Bottom half: beige text box. Text 1: Title "BELLE STARR" in bold western font. Text 2: Description "Power (2): Deal 2 dmg to Enemy Hero". Top-Left Corner: No cost. Bottom-Right: Heart icon with "20". Style: Worn paper texture antique aesthetic masterpiece.
82,Wild,SITTING BEAR,Hero,0,0,25,Hero Power (2 Grit): Heal a Unit for 2 and give it +1 Health.,wise native american chief with feathers,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wise native american chief with feathers western style portrait. Bottom half: beige text box. Text 1: Title "SITTING BEAR" in bold western font. Text 2: Description "Power (2): Heal 2 & Give +1 HP". Top-Left Corner: No cost. Bottom-Right: Heart icon with "25". Style: Worn paper texture antique aesthetic masterpiece.
83,Mythos,BARON SAMEDI,Hero,0,0,20,Hero Power (2 Grit): Deal 1 damage. If target dies draw a card.,spooky voodoo man with skull face paint and top hat,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of spooky voodoo man with skull face paint and top hat western style portrait. Bottom half: beige text box. Text 1: Title "BARON SAMEDI" in bold western font. Text 2: Description "Power (2): Deal 1 dmg. Draw if kills". Top-Left Corner: No cost. Bottom-Right: Heart icon with "20". Style: Worn paper texture antique aesthetic masterpiece.
84,Saloon,DIAMOND JIM,Hero,0,0,25,Hero Power (1 Grit): Add a random 'Coin' to your hand.,fat wealthy man with rings and cigar,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of fat wealthy man with rings and cigar western style portrait. Bottom half: beige text box. Text 1: Title "DIAMOND JIM" in bold western font. Text 2: Description "Power (1): Get a random Coin". Top-Left Corner: No cost. Bottom-Right: Heart icon with "25". Style: Worn paper texture antique aesthetic masterpiece.
85,Law,DEPUTY,Unit,1,1,1,Guardian,young deputy with rifle,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of young deputy with rifle western style. Bottom half: beige text box. Text 1: Title "DEPUTY" in bold western font. Text 2: Description "Guardian". Top-Left Corner: Circle with number "1". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
